time,open,high,low,close,volumeto,coin
2024-01-28,0.4861,0.5004,0.4834,0.4902,10575957.61,ada
2024-01-29,0.4902,0.5279,0.4839,0.5259,18477688.23,ada
2024-01-30,0.5259,0.5369,0.5124,0.5137,23122590.66,ada
2024-01-31,0.5137,0.5202,0.4933,0.4974,21079363.79,ada
2024-02-01,0.4974,0.5082,0.4855,0.5075,12455185.4,ada
2024-02-02,0.5075,0.524,0.5039,0.5143,16882425.72,ada
2024-02-03,0.5143,0.5254,0.5116,0.5123,9503845.18,ada
2024-02-04,0.5123,0.5124,0.4931,0.4932,8066129.31,ada
2024-02-05,0.4932,0.5056,0.4868,0.4938,10446283.8,ada
2024-02-06,0.4938,0.5039,0.4886,0.4982,10887482.75,ada
2024-02-07,0.4982,0.5022,0.4738,0.5021,31068478.52,ada
2024-02-08,0.5021,0.5364,0.502,0.5303,36560769.7,ada
2024-02-09,0.5303,0.5487,0.528,0.5409,28636357.69,ada
2024-02-10,0.5409,0.5582,0.5285,0.5517,20890922.35,ada
2024-02-11,0.5517,0.5655,0.5357,0.5418,27082649.55,ada
2024-02-12,0.5418,0.5672,0.531,0.5596,25875264.95,ada
2024-02-13,0.5596,0.5646,0.5342,0.5452,22200877.84,ada
2024-02-14,0.5452,0.5831,0.5401,0.5775,27855547.34,ada
2024-02-15,0.5775,0.6122,0.5714,0.6094,38883958.02,ada
2024-02-16,0.6094,0.6141,0.5825,0.5992,32636788.35,ada
2024-02-17,0.5992,0.6107,0.5692,0.6097,20984714.93,ada
2024-02-18,0.6097,0.6389,0.6095,0.6195,35079474.24,ada
2024-02-19,0.6195,0.6386,0.6152,0.6308,23421033.36,ada
2024-02-20,0.6308,0.6413,0.5958,0.622,34450175.29,ada
2024-02-21,0.622,0.6236,0.5749,0.5988,26466276.25,ada
2024-02-22,0.5988,0.6078,0.5807,0.5855,19783372.49,ada
2024-02-23,0.5855,0.5948,0.5684,0.5823,18943958.84,ada
2024-02-24,0.5823,0.5998,0.5695,0.5969,20690381.2,ada
2024-02-25,0.5969,0.6004,0.5805,0.5913,14265686.56,ada
2024-02-26,0.5913,0.6227,0.5735,0.6197,30702184.79,ada
2024-02-27,0.6197,0.6309,0.608,0.6242,41300094.28,ada
2024-02-28,0.6242,0.6614,0.5982,0.6294,62125659.39,ada
2024-02-29,0.6294,0.7086,0.6235,0.6551,89406441.93,ada
2024-03-01,0.6551,0.7207,0.6536,0.7201,46184177.87,ada
2024-03-02,0.7201,0.7643,0.7179,0.7419,65350264.16,ada
2024-03-03,0.7419,0.7424,0.6896,0.7284,32353465.95,ada
2024-03-04,0.7284,0.7991,0.7239,0.7711,86606052.32,ada
2024-03-05,0.7711,0.7831,0.5806,0.6935,112630724.48,ada
2024-03-06,0.6935,0.7568,0.6658,0.7353,56867244.45,ada
2024-03-07,0.7353,0.7559,0.7191,0.7439,42106532.96,ada
2024-03-08,0.7439,0.7554,0.7001,0.7243,47476851.77,ada
2024-03-09,0.7243,0.7471,0.722,0.7431,26309412.9,ada
2024-03-10,0.7431,0.7455,0.7013,0.7173,27523259.72,ada
2024-03-11,0.7173,0.7882,0.6873,0.7751,73580867.58,ada
2024-03-12,0.7751,0.776,0.7051,0.7483,50770033.43,ada
2024-03-13,0.7483,0.7735,0.7374,0.7646,43132252.59,ada
